label,kind,feeder,resid_mean_mva,resid_p95_mva,resid_max_mva,W1_Pd,W1_Vm,ACF_head_rmse,W1_head_ramps,XCorr_Pd_rmse,revflow_abs_err_pct,vm_oor_pct,div_pd_ratio,div_vm_ratio,lam,seed,val_nll,best_epoch
m3_lam1e3_s42,flow,semiurb0,1.055891513824463,2.578643560409546,48.30818176269531,0.013659206216985874,0.01170564376726203,0.5213893228446207,0.21907372451369553,0.3513385177705353,45.44247159090909,0.8695652173913043,0.6058940501300023,0.036666402621223906,0.001,42.0,-1.9054875373840332,176.0
m3_lam1e3_s43,flow,rural0,1.5754350423812866,4.551975250244141,38.144989013671875,0.006070655233387939,0.021940267420607302,0.6742164821701014,0.18831970150667302,0.3295484076788542,56.58570075757576,1.0526315789473684,0.279454511905599,0.02176542169055908,0.001,43.0,-1.9475377202033997,168.0
m3_lam1e3_s43,flow,semiurb0,1.5377331972122192,3.8644447326660156,56.2562255859375,0.007966875665684929,0.011781220410415832,0.5425479504526898,0.3147231433392285,0.1946751947692932,32.15909090909091,0.8695652173913043,0.2634232285692806,0.021267624973878935,0.001,43.0,-1.9475377202033997,168.0
m3_lam1e3_s44,flow,rural0,0.9040566086769104,2.3951995372772217,41.05611801147461,0.006207824403384529,0.022197220974503152,0.6280864248714614,0.05349278363108414,0.32929663809297754,45.843513257575765,1.0526315789473684,0.2581022677998799,0.04707135678752885,0.001,44.0,-1.931615948677063,205.0
m3_lam1e3_s44,flow,semiurb0,0.7792156934738159,1.9953571557998657,46.06171417236328,0.007606398373906631,0.011345138014343439,0.46244385095649837,0.10472540602396568,0.27364530963563866,18.62263257575757,0.8695652173913043,0.2306530953485282,0.04846445822275264,0.001,44.0,-1.931615948677063,205.0
m3_lam1e2_s42,flow,rural0,0.45101362466812134,1.3315980434417725,29.78440284729004,0.017743947779219026,0.022978927853607282,0.5606083033890985,0.10222998768426951,0.3092211271031864,49.96070075757576,1.0526315789473684,0.17763201656966882,0.006007232108383672,0.01,42.0,-1.7813215255737305,252.0
m3_lam1e2_s42,flow,semiurb0,0.46298298239707947,1.2323534488677979,30.649511337280273,0.02137460824804627,0.011461862472984485,0.49230918109311395,0.19167315688386086,0.2144136224646811,24.84138257575757,0.8695652173913043,0.14362229606368038,0.0057429308542095905,0.01,42.0,-1.7813215255737305,252.0
m3_lam1e2_s43,flow,rural0,2.2440273761749268,4.896157741546631,35.745948791503906,0.05715107395774151,0.004065319542747805,0.6725792200977785,0.1406122118011646,0.34537364468817977,43.40909090909091,0.9868421052631579,0.025167904153344814,0.003317200061700137,0.01,43.0,-1.5834866166114807,208.0
m3_lam1e2_s43,flow,semiurb0,0.8414393067359924,2.340827226638794,19.283823013305664,0.046353421970957154,0.0021239877593133625,0.5250120305247997,0.2518425861421925,0.3179805627970418,67.8409090909091,0.009057971014492754,0.02073976138367674,0.00388149582906014,0.01,43.0,-1.5834866166114807,208.0
m3_lam1e2_s44,flow,rural0,0.6426278948783875,1.7599971294403076,37.22990036010742,0.023619870429116955,0.02292172874535261,0.679411509843891,0.1684280127988039,0.7344200201031629,20.49242424242425,1.0526315789473684,0.10477016664841185,0.04074428756270679,0.01,44.0,-1.8457071185112,237.0
m3_lam1e2_s44,flow,semiurb0,0.6422415375709534,1.6947568655014038,34.70926284790039,0.025901959485848513,0.011516164929310242,0.5422087523833552,0.218567304239962,0.7365335883458164,44.924242424242436,0.8695652173913043,0.09367342436076165,0.04573165000359032,0.01,44.0,-1.8457071185112,237.0
